KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,HOME_VAL,EDUCATION,JOB,TRAVTIME,BLUEBOOK,TIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,MVR_PTS,CAR_AGE,Yes,z_No,z_Highly Rural/ Rural,Commercial,Private,Highly Urban/ Urban,No,No_right,TARGET_AMT,Yes_right,Yes_sec,TARGET_FLA
0,48.0,0,11.0,52881.0,0.0,1,4,26,21970.0,1,4,0.0,0,2,10.0,0,1,0,0,1,False,False,False,False,False,False,0
1,40.0,1,11.0,50815.0,0.0,4,4,21,18930.0,6,0,3295.0,1,2,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,44.0,2,12.0,43486.0,0.0,4,8,30,5900.0,10,5,0.0,0,0,10.0,0,1,1,1,0,False,False,False,False,False,False,0
0,35.0,2,10.379091353199804,21204.0,0.0,4,0,74,9230.0,6,2,0.0,0,0,4.0,0,1,1,0,1,False,False,False,False,False,False,0
0,59.0,0,12.0,87460.0,0.0,4,4,45,15420.0,1,0,44857.0,2,4,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,46.0,0,14.0,60324.26537698413,207519.0,1,5,7,25660.0,1,1,2119.0,1,2,12.0,1,0,0,1,0,False,False,False,False,False,False,0
0,60.0,0,12.0,37940.0,182739.0,4,8,16,11290.0,1,3,0.0,0,0,1.0,1,0,0,1,0,False,False,False,False,False,False,0
0,54.0,0,12.0,33212.0,158432.0,0,8,27,24000.0,4,1,0.0,0,5,8.183399602385686,1,0,0,1,0,False,False,False,False,False,False,0
2,36.0,2,12.0,130540.0,344195.0,1,8,5,27200.0,4,0,0.0,0,0,9.0,0,1,1,1,0,False,False,False,False,False,False,0
0,50.0,0,8.0,167469.0,0.0,3,1,22,34150.0,4,3,0.0,0,3,1.0,0,1,0,0,1,False,False,False,False,False,False,0
0,42.0,0,10.379091353199804,52988.0,176275.0,4,8,24,23450.0,1,0,0.0,0,2,11.0,1,0,1,1,0,False,False,False,False,False,False,0
0,41.0,2,7.0,17755.0,148815.0,0,0,29,14480.0,1,0,0.0,0,2,1.0,0,1,0,0,1,False,False,False,False,False,False,0
1,37.0,2,13.0,60324.26537698413,0.0,4,8,62,9360.0,4,3,0.0,0,0,8.183399602385686,0,1,0,1,0,False,False,False,False,False,False,0
0,36.0,3,12.0,56048.0,137836.0,2,3,15,10700.0,6,0,2045.0,2,2,16.0,1,0,0,0,1,False,False,False,False,False,False,0
